Company,Sector,Quarter,Speaker,Title,Role,Categories,Quantified,Sentiment,Quote
ACN,IT Consulting & Other Services,2025Q3,Julie T. Sweet,CEO,Executive,Internal Automation,No,0.9,"Well, first of all, our guidance takes into account how we deliver and any effects on how Gen AI is being built into our commercial models."
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,Uncategorized,Yes,0.9,Our early and decisive decision in FY23 to invest significantly to become the leader in Gen AI with a $3 billion multi-year investment is clearly paying off as we capture this new area of spend for our clients.
ACN,IT Consulting & Other Services,2025Q4,Angie Park,CFO,Executive,AI Infrastructure,Yes,0.8,Our results reflect our relentless focus to consistently deliver on our shareholder value proposition while investing for long-term market leadership and reinforce our role as a trusted reinvention partner for our clients and a leader in AI.
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure, Risk/Regulatory",Yes,0.9,"By using AI to streamline operations, Ecolab is on a path to deliver an estimated 5% to 7% sales growth and 20% operating income margin without increasing costs at the same pace."
ACN,IT Consulting & Other Services,2025Q4,Tien-Tsin Huang,Analyst,Analyst,"AI-Enhanced Feature, Internal Automation",No,0.2,"Julie, I like your AI remarks."
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,"Internal Automation, AI Infrastructure",Yes,0.8,We do not see AI as deflationary.
ACN,IT Consulting & Other Services,2025Q4,Dave Koning,Analyst,Analyst,AI-Native Product,No,0.3,Great job and great to see Gen AI bookings reaccelerate.
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,Uncategorized,No,0.7,"They want the cost takeout, but they want to use everything we've invested in our platforms to get them to the advanced AI."
ACN,IT Consulting & Other Services,2025Q4,James Faucette,Analyst,Analyst,AI-Native Product,No,0.2,"You mentioned, and we saw the reacceleration in Gen AI and bookings, et cetera."
ACN,IT Consulting & Other Services,2025Q4,Angie Park,CFO,Executive,Uncategorized,No,0.3,"For our Gen AI projects and the pure Gen AI that we've been, or advanced AI that we've been talking about, we do see pricing that is accretive overall to Accenture's average."
ACN,IT Consulting & Other Services,2025Q4,Jamie Friedman,Analyst,Analyst,Uncategorized,No,0.0,"I wanted to ask, Julie, about the way you're defining advanced AI."
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,AI-Native Product,Yes,0.5,"In fact, one out of every two projects in Gen AI, Agentic AI, physical AI has significant data pull-through."
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,AI Infrastructure,No,0.8,"Also, remember that when we went into this, we'd already trained about 500,000 of our people on classical AI because going back to FY2019, we said the next decade would be about cloud, data, and AI."
ACN,IT Consulting & Other Services,2025Q4,Bryan Bergin,Analyst,Analyst,Uncategorized,No,0.2,My first question on Gen AI impact.
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,Uncategorized,No,0.7,"In fact, especially early on, because Gen AI seemed so simple, right?"
ACN,IT Consulting & Other Services,2025Q4,Bryan Bergin,Analyst,Analyst,Internal Automation,No,0.2,I'm specifically curious if you see that combined with Gen AI adoption internally allowing you to operate at a sustainably higher utilization as that did take up this quarter.
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,Uncategorized,Yes,0.6,That's one of the reasons why we have the new reinvention services to really simplify how we're operating because that makes it much easier to start to use this AI.
ACN,IT Consulting & Other Services,2025Q4,Jim Schneider,Analyst,Analyst,Internal Automation,Yes,0.2,"As a follow-up on that, if you could maybe talk about the net impact of AI you're using internally to optimize your own work, your own business, utilization."
ACN,IT Consulting & Other Services,2025Q4,Julie Sweet,CEO,Executive,Uncategorized,Yes,0.6,"Our utilization, we would expect to continue to move around in the low 90%, so we don't have a structural change in utilization due to AI."
ADBE,Application Software,2024Q4,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,We had several new milestones with our AI innovations enabling us to add more than $2 billion in digital media net new ARR and surpass $1 billion in the ending book of business for Adobe Experience Platform and native apps.
ADBE,Application Software,2024Q4,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,We took a major step forward in FY2024 with the introduction of AI Assistant in Acrobat and Reader.
ADBE,Application Software,2024Q4,Anil Chakravarthy,President of Digital Experience,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,The AI innovations we have delivered enable our customers to accelerate the delivery of personalized experiences at scale and have been built to satisfy enterprise governance requirements.
ADBE,Application Software,2024Q4,Dan Durn,CFO,Executive,"AI-Native Product, AI-Enhanced Feature, AI Infrastructure",Yes,0.8,"We are proud of the performance we have driven in FY2024, delivering record revenue, EPS, and operating cash flows while aggressively investing in AI product innovation."
ADBE,Application Software,2024Q4,Shantanu Narayen,CEO,Executive,"AI-Native Product, Internal Automation, AI Infrastructure",No,0.9,"This quarter, Adobe was once again recognized for our exceptional culture and leadership, including on Forbes' World's Best Employers, Fortune's 50 AI Innovators, and Fortune's Best Workplaces in Technology in the Wall Street Journal's Best Managed Companies list."
ADBE,Application Software,2024Q4,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, AI Infrastructure",No,0.8,"So AI obviously has been a huge area of focus for us, and, frankly, our community has been using it at amazing rates."
ADBE,Application Software,2024Q4,Dan Durn,CFO,Executive,AI-Enhanced Feature,No,0.6,"We called out products like Express, AI Assistant, Firefly, premium tiers in DX, Gen Studio."
ADBE,Application Software,2024Q4,Alex Zukin,Analyst,Analyst,Uncategorized,No,0.5,I guess maybe to the point that you just alluded to in terms of AI being meaningful as part of the broader roadmap for business.
ADBE,Application Software,2024Q4,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation",Yes,0.7,"We've done a number of partnerships that we talked about with Box, ChatGPT, HubSpot, and others, but also our own products like Acrobat Workflows, from Acrobat and Reader into Express."
ADBE,Application Software,2024Q4,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI Infrastructure",No,0.5,"I think to your bigger question about what's happening in the business, and as we think about it, you know, at the scale of the business right now, certainly, as this entire world moves towards generative AI, as David said, we're executing on both the proliferation play at the bottom with Express an"
ADBE,Application Software,2024Q4,David Wadhwani,President of Digital Media,Executive,"AI-Enhanced Feature, Internal Automation, AI Infrastructure",No,0.7,"In addition to that, AI Assistant has been really a phenomenal ad, you know, unlike many other players in the space, we don't require significant, you know, security and governance reviews because people can have conversations around the documents that they view."
ADBE,Application Software,2024Q4,Shantanu Narayen,CEO,Executive,Uncategorized,No,0.4,So it's just another way much like AI assistance is of monetizing it.
ADBE,Application Software,2024Q4,David Wadhwani,President of Digital Media,Executive,AI Infrastructure,Yes,0.8,So we are looking at leveraging the power of this AI foundation in all the activities.
ADBE,Application Software,2024Q4,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, AI Infrastructure",No,0.8,"Given the innovation that we've had, I think as it relates to all three businesses that we have, the Creative Cloud with everything that we've done around AI, we have a lot of momentum going into the business and a really great diverse portfolio in terms of both the customers as well as our offering"
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.9,"This strength is also reflected in our AI-first standalone and add-on products such as Acrobat AI Assistant, Firefly App and Services and GenStudio for Performance Marketing, which have already contributed greater than $125 million in business exiting Q1 fiscal 2025 and we expect this AI book of bus"
ADBE,Application Software,2025Q1,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,Other Creative Professional and Creator highlights include; continued strong adoption of GenAI in our products with Photoshop GenAI monthly active users at approximately 35% and Lightroom GenAI monthly active users at 30%.
ADBE,Application Software,2025Q1,Anil Chakravarthy,President of Digital Experience,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,"With the addition of AEP AI Assistant, we extended the value and impact of Experience Platform by empowering more functions across the business with conversational interfaces for data ingestion, insight generation, audience segmentation and experience delivery."
ADBE,Application Software,2025Q1,Dan Durn,Executive Vice President and CFO,Executive,"AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.7,"Strength in user adoption and engagement of Acrobat AI Assistant driven by expansion of features including support for additional languages and contract intelligence capabilities; Growth of Creative flagship offerings driven by All Apps, Stock, Imaging, and Photography; Continued momentum in Creativ"
ADBE,Application Software,2025Q1,Brent Thill,Analyst,Analyst,Vague/Buzzword,No,0.0,"Good afternoon Shantanu, if you took the AI book of business, it would be low single-digit percent of your total revenue for the year."
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,"AI-Enhanced Feature, AI Infrastructure",Yes,0.7,"If we consider our AI journey, it's structured in three phases."
ADBE,Application Software,2025Q1,David Wadhwani,President of Digital Media,Executive,"AI-Enhanced Feature, Internal Automation",Yes,0.6,"Our AI Assistant, introduced last year, continues to excel and contributes to our strategy of enhancing consumption and conversational experiences, with a quarter-over-quarter usage growth of 2 times."
ADBE,Application Software,2025Q1,Anil Chakravarthy,President of Digital Experience,Executive,Uncategorized,No,0.7,"To just echo what you were saying, I think in the enterprise, we see a lot of demand for creativity and marketing and AI coming together."
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,AI-Enhanced Feature,Yes,0.6,I also want to clarify that we are not categorizing all revenue from Digital Media and Digital Experience as AI revenue.
ADBE,Application Software,2025Q1,Kash Rangan,Analyst,Analyst,"AI-Native Product, AI Infrastructure",No,0.3,"So as you look at AI right now, right now, one bearish argument that one could make which I don't subscribe to, is that you're playing defense and that AI is a cost of staying in business and keeping us relevant to your creative base."
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation",No,0.6,So I am more excited about the larger opportunity without a doubt as a result of AI.
ADBE,Application Software,2025Q1,Mark Moerdler,Analyst,Analyst,Uncategorized,No,0.2,Should we expect the disclosure on the AI ARR something that we'll be getting quarterly or periodically updated?
ADBE,Application Software,2025Q1,Alex Zukin,Analyst,Analyst,Uncategorized,Yes,0.3,"I'd like to echo the positive comments regarding the new figures, especially concerning the AI book of business."
ADBE,Application Software,2025Q1,David Wadhwani,President of Digital Media,Executive,"AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,"To start, the AI Assistant has been in the market for about three to four quarters, while Firefly Service has been around for roughly the same period."
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,AI-Enhanced Feature,No,0.7,"Remember, with Acrobat, we have AI Assistant that's separate, so this is only the separate Acrobat AI Assistant."
ADBE,Application Software,2025Q1,Alex Zukin,Analyst,Analyst,Uncategorized,No,0.4,"I guess to continue with that, we've observed a lot of consolidation in the AI sector, particularly with model companies and the emerging agents."
ADBE,Application Software,2025Q1,David Wadhwani,President of Digital Media,Executive,"AI-Enhanced Feature, Internal Automation",No,0.8,"This group shows strong engagement and adoption of the generative AI features we've integrated into the product, as they are easy to find and effective, providing significant value."
ADBE,Application Software,2025Q1,Shantanu Narayen,CEO,Executive,Vague/Buzzword,No,0.9,"When you think about the addressable markets that we have, as we think about how we serve the business professional and the consumer and the creative professional and the marketing professional, we believe that, that's an immense opportunity that's only going to grow as a result of AI."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.9,"While our AI-influenced ARR is already contributing billions of dollars, our AI book of business from AI products, such as Acrobat AI Assistant, Firefly app and services, and Gen Studio for performance marketing, is tracking ahead of the $250 million ending ARR target by the end of fiscal 2025."
ADBE,Application Software,2025Q2,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,"As a result, we're seeing steady growth across our family of Acrobat and Express products, with combined monthly active user growth accelerating to over 25% year over year and crossing 700 million monthly active users, as Acrobat users increasingly rely on Acrobat AI Assistant to enhance content con"
ADBE,Application Software,2025Q2,Anil Chakravarthy,President of Digital Experience,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.9,"Our customer experience orchestration strategy enables enterprises to combine creativity, marketing, and agentic AI to deliver personalized conversational digital experiences in real time at global scale."
ADBE,Application Software,2025Q2,Dan Durn,Executive Vice President and CFO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.7,"Additionally, we're on pace to surpass $250 million in AI Direct ARR book of business exiting the year."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,AI-Enhanced Feature,No,0.9,Our strong Q2 performance highlights our momentum and how we're leveraging AI to drive exponential value in the creative economy.
ADBE,Application Software,2025Q2,David Wadhwani,President of Digital Media,Executive,AI-Enhanced Feature,No,0.7,"As I've mentioned in the past, when we launched AI assistant, about a year ago now, what we started noticing is that as people were having conversations with the documents they were using, the very next step or one of the last steps they took was basically ask the AI assistant to write a summary for"
ADBE,Application Software,2025Q2,Mark Murphy,Analyst,Analyst,Uncategorized,No,0.4,"And I'm interested in just what you see happening there to drive the contributor uploaded content higher, then also just having seen the news with the Disney and NBCUniversal, you know, filing a copyright lawsuit that related to some of the AI-generated imagery."
ADBE,Application Software,2025Q2,Tyler Radke,Analyst,Analyst,Uncategorized,No,0.4,"I wanted to ask about how you're thinking about, you know, overall Gen AI usage versus monetization."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,AI Infrastructure,Yes,0.8,"I think underlying, you know, the numbers, there's been a fair amount of rearchitecture to make sure that AI is really driving it."
ADBE,Application Software,2025Q2,Alex Zukin,Analyst,Analyst,Internal Automation,No,0.5,"And then with respect to outside of your traditional competitive environment, maybe just coopetition with vendors like Meta where at least it's a little harder for some investors to understand given their increasing usage of AI to automate, you know, kind of ad creation and campaign optimization."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,AI-Enhanced Feature,No,0.6,Let's get more adoption of the AI features within the desktop applications.
ADBE,Application Software,2025Q2,Brent Thill,Analyst,Analyst,Uncategorized,Yes,0.4,Think everyone's curious with AI.
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,"AI-Enhanced Feature, Internal Automation",Yes,0.8,"We wanna, you know, make sure that we invest in AI."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,"AI-Enhanced Feature, Internal Automation",No,0.5,"Strategy, I mean, again, I think AI will offer folks a lot more."
ADBE,Application Software,2025Q2,Kash Rangan,Analyst,Analyst,AI Infrastructure,Yes,0.6,"And when you look at the targets for AI, you got the $125 million book of business projected to go to $250 million."
ADBE,Application Software,2025Q2,Shantanu Narayen,CEO,Executive,AI-Enhanced Feature,Yes,0.7,"You know, if you build a new book of business that's going from 0 to $250 million, I think most people would say, you know, that's pretty phenomenal because these are products, whether it's Acrobat AI assistant, the new Firefly app, Firefly services, you know, which is, you know, continues to rock f"
ADBE,Application Software,2025Q3,Shantanu Narayen,Chair and CEO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.9,"We're seeing continued adoption and momentum for Adobe Experience Platform AI assistant, with 70% of eligible AEP customers leveraging this functionality."
ADBE,Application Software,2025Q3,David Wadhwani,President of Digital Media,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,Other business highlights include ending units of Acrobat AI Assistant grew more than 40% quarter-over-quarter and AI system engagement with conversations and summarizations grew nearly 50% quarter-over-quarter.
ADBE,Application Software,2025Q3,Anil Chakravarthy,President of Digital Experience,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,"retail sites, shows that LLM traffic grew 4,700% year-over-year in July 2025."
ADBE,Application Software,2025Q3,Daniel Durn,Executive Vice President and CFO,Executive,"AI-Native Product, AI-Enhanced Feature, Internal Automation, AI Infrastructure",Yes,0.8,Adobe AI influenced ARR surpassed $5 billion and we expect it to continue to rise as a percent of our business.
ADBE,Application Software,2025Q3,Shantanu Narayen,Chair and CEO,Executive,Uncategorized,No,0.9,"In my interactions with companies around the world, it's clear that they're investing in Adobe as their mission-critical creative AI technology partner."
ADBE,Application Software,2025Q3,David Wadhwani,President of Digital Media,Executive,"Internal Automation, AI Infrastructure",No,0.5,"Regarding choice, we want to make sure that all third-party models are available, you saw our announcement with Google and Nano Banana, OpenAI, Flux, Runway, Luma, Ideogram, the list continues to grow."
ADBE,Application Software,2025Q3,Bradley Sills,Analyst,Analyst,Uncategorized,Yes,0.3,Really great to see that you're exceeding that target for the full year of $250 million ARR from AI first products.
ADBE,Application Software,2025Q3,Shantanu Narayen,Chair and CEO,Executive,"AI-Enhanced Feature, AI Infrastructure",Yes,0.7,"And so on the influence revenue, which includes things like Creative Cloud and the usage of Creative Cloud, what we are seeing in Acrobat, what you're seeing in Express, what you're seeing in the DX solutions that include AI, I mean, it was easy to see and we're very conservative there in terms of w"
ADBE,Application Software,2025Q3,Sang-Jin Byun,Analyst,Analyst,Internal Automation,No,0.2,"Just wondering if you could shed a little bit of light on the mix of AI credit usage between your own Firefly-based solutions and third party, whether you're seeing any pickup from the third-party models and how users are responding?"
ADBE,Application Software,2025Q3,Anil Chakravarthy,President of Digital Experience,Executive,Internal Automation,No,0.5,"In response to your second question about the LLM Optimizer, I have been collaborating with our internal team at adobe.com, which manages a significant digital business."
ADBE,Application Software,2025Q3,Shantanu Narayen,Chair and CEO,Executive,Vague/Buzzword,No,0.7,"And so as people talk about just search traffic and what's happening in search, you really have to start to factor in, and we're, I think, one of the leaders in that space, how to really take advantage of what's happening, not just across search but also what happens across social and now increasing"
