Company,Sector,Quarter,AI Mentions,Total Segments,AI Intensity %,Top Category,Who Brought It Up,Quantified Impact,Best Quote,Speaker
AMD,Semiconductors,2023Q1,19,79,24.1,AI-Native Product,Both (13E/6A),Yes,"We executed very well in the first quarter as we delivered better-than-expected revenue and earnings in a mixed demand environment, launched multiple leadership products across our businesses, and made significant progress accelerating our AI roadmap and customer engagements across our portfolio.",Lisa Su
AMD,Semiconductors,2023Q2,18,78,23.1,AI-Native Product,Both (13E/5A),Yes,"On the hardware side, we announced our new Instinct MI300X GPUs designed to be the world's most advanced accelerators for generative AI.",Lisa Su
AMD,Semiconductors,2024Q3,13,61,21.3,AI Infrastructure,Both (10E/3A),Yes,"Turning to our Data Center AI business, Data Center GPU revenue ramped as MI300X adoption expanded with cloud, OEM, and AI customers.",Dr. Lisa Su
AMD,Semiconductors,2024Q4,9,49,18.4,AI-Native Product,Both (8E/1A),Yes,"2024 was an outstanding year, as we accelerated our AI hardware roadmap to deliver an annual cadence of new Instinct accelerators, expanded our ROCm software suite with significant uplifts in inferencing and training performance, built strong customer relationships with key industry leaders, and del",Lisa Su
AMD,Semiconductors,2025Q1,6,59,10.2,AI-Native Product,Both (4E/2A),Yes,"Turning to our data center AI business, revenue increased by a significant double-digit percentage year-over-year, as MI325X shipments ramp to support new enterprise and cloud deployments.",Lisa Su
AMD,Semiconductors,2025Q2,9,40,22.5,AI Infrastructure,Executive,Yes,"Excluding the $800 million inventory write-down related to data center AI export controls, gross margin was 54%, marking our sixth consecutive quarter of year-over-year margin expansion led by a richer product mix.",Lisa T. Su
AMD,Semiconductors,2025Q3,24,58,41.4,AI Infrastructure,Both (17E/7A),Yes,We expect this partnership will significantly accelerate our data center AI business with the potential to generate well over $100 billion in revenue over the next few years.,Lisa Su
AES,Independent Power Producers & Energy Traders,2024Q2,1,103,1.0,AI-Native Product,Executive,Yes,"Today, I will discuss our results, the significant advancements we've made with large technology customers, and the work we are doing to incorporate generative AI in our portfolio to develop new competitive advantages.",Andres Gluski
AES,Independent Power Producers & Energy Traders,2024Q3,0,80,0.0,,,No,,
AES,Independent Power Producers & Energy Traders,2024Q4,2,55,3.6,AI Infrastructure,Executive,Yes,"Without timely access to power, there can be no AI revolution.",Andres Gluski
AES,Independent Power Producers & Energy Traders,2025Q1,1,67,1.5,Uncategorized,Executive,No,"Ultimately, we aim for two primary objectives: energy dominance and leadership in the AI race.",Andrés Gluski
AES,Independent Power Producers & Energy Traders,2025Q2,2,50,4.0,AI Infrastructure,Executive,Yes,"As part of our construction efforts, we utilized our AI robotic solar installation technology, Maximo, which makes construction significantly faster, less labor intensive and more cost effective.",Andres Ricardo Gluski Weilert
AFL,Life & Health Insurance,2024Q2,0,48,0.0,,,No,,
AFL,Life & Health Insurance,2024Q3,0,50,0.0,,,No,,
AFL,Life & Health Insurance,2024Q4,0,75,0.0,,,No,,
AFL,Life & Health Insurance,2025Q1,0,64,0.0,,,No,,
AFL,Life & Health Insurance,2025Q2,1,47,2.1,Internal Automation,Executive,No,"We provide diverse digital services to customers, associates, and employees, ensuring the incorporation of new generative AI.",Masatoshi Koide
A,Life Sciences Tools & Services,2024Q1,0,118,0.0,,,No,,
A,Life Sciences Tools & Services,2024Q2,0,60,0.0,,,No,,
A,Life Sciences Tools & Services,2024Q3,1,77,1.3,AI-Native Product,Executive,Yes,"At the end of the quarter, we also announced the acquisition of California-based Sigsense, a start-up that uses artificial intelligence and power monitoring to help customers optimize their lab operations.",Padraig McDonnell
A,Life Sciences Tools & Services,2024Q4,0,86,0.0,,,No,,
A,Life Sciences Tools & Services,2025Q1,1,58,1.7,AI-Native Product,Executive,No,"This recognizes Agilent for its breakthroughs in scaling AI, 3D printing, robotics, big-data analytics, and the industrial internet of things.",Padraig McDonnell
APD,Industrial Gases,2023Q3,0,105,0.0,,,No,,
APD,Industrial Gases,2023Q4,0,64,0.0,,,No,,
APD,Industrial Gases,2024Q1,0,147,0.0,,,No,,
APD,Industrial Gases,2024Q2,0,92,0.0,,,No,,
APD,Industrial Gases,2024Q3,0,95,0.0,,,No,,
ABNB,"Hotels, Resorts & Cruise Lines",2023Q2,4,63,6.3,Internal Automation,Both (3E/1A),Yes,"Finally, I believe AI represents a once-in-a-generation platform shift, potentially even larger than the transition to mobile, and that we will be at the forefront of innovation in this area.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2023Q3,4,60,6.7,AI Infrastructure,Both (3E/1A),Yes,"First, I think that we are thinking about generative AI as an opportunity to reimagine much of our product category and product catalog.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2023Q4,3,64,4.7,AI-Native Product,Both (2E/1A),Yes,"Third, there is a new platform shift with AI, and it will allow us to do things we never could have imagined.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2024Q1,2,64,3.1,Uncategorized,Both (1E/1A),No,"In terms of deploying AI, we've focused on reducing friction and enhancing user experience.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2024Q2,2,57,3.5,Uncategorized,Both (1E/1A),No,"So Brian, Gen AI ChatGPT launched late November 2022.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2024Q4,4,47,8.5,Internal Automation,Both (2E/2A),Yes,Most of the engineers are using AI tools.,Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2025Q1,1,58,1.7,Internal Automation,Executive,No,"We're focused on creating a superior user experience, and AI will play a significant role.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2025Q2,7,67,10.4,Uncategorized,Both (4E/3A),Yes,"We also expanded our new AI customer service agent in the U.S., reducing the percentage of hosting guests who need to contact a human agent by 15%.",Brian Chesky
ABNB,"Hotels, Resorts & Cruise Lines",2025Q3,9,43,20.9,AI-Enhanced Feature,Both (5E/4A),Yes,"We are fostering this growth through four main strategies: enhancing our service, expanding Airbnb globally, broadening our offerings, and integrating AI throughout our app.",Brian Chesky
AKAM,Internet Services & Infrastructure,2024Q3,5,29,17.2,AI Infrastructure,Both (3E/2A),Yes,We're already leveraging generative AI to enhance the security and ease of use of our Guardicore and WAF solutions.,Tom Leighton
AKAM,Internet Services & Infrastructure,2024Q4,6,65,9.2,AI Infrastructure,Both (3E/3A),Yes,We added GPUs for a variety of AI and media use cases.,Tom Leighton
AKAM,Internet Services & Infrastructure,2025Q1,6,55,10.9,AI Infrastructure,Both (5E/1A),Yes,"For example, in one proof of concept, a company's artificial intelligence application achieved 30% faster response times using our new Butte platform than they had with a hyperscaler.",Tom Leighton
AKAM,Internet Services & Infrastructure,2025Q2,4,43,9.3,AI Infrastructure,Both (3E/1A),Yes,"Examples of the many contracts we signed in Q2 that included a large commitment for our cloud infrastructure services include a three-year $16 million renewal and expansion agreement with one of the largest companies at the forefront of the AI revolution, a two-year $28 million agreement with one of",F. Thomson Leighton
AKAM,Internet Services & Infrastructure,2025Q3,16,73,21.9,AI-Native Product,Both (13E/3A),Yes,It offers an objective third-party perspective of how Akamai has evolved our strategy and our key differentiators in security and distributed cloud computing for AI inferencing at the edge.,Tom Leighton
ALB,Specialty Chemicals,2024Q2,0,57,0.0,,,No,,
ALB,Specialty Chemicals,2024Q3,0,67,0.0,,,No,,
ALB,Specialty Chemicals,2024Q4,0,37,0.0,,,No,,
ALB,Specialty Chemicals,2025Q1,1,69,1.4,AI Infrastructure,Executive,Yes,It's becoming a little bit more about grid stability around AI data centers and things like that.,Kent Masters
ALB,Specialty Chemicals,2025Q2,0,81,0.0,,,No,,
ARE,Office REITs,2024Q2,0,43,0.0,,,No,,
ARE,Office REITs,2024Q3,1,22,4.5,Uncategorized,Executive,Yes,"We're witnessing demand from tech tenants right now; OpenAI recently completed a 490,000 square-foot sublease at our properties, which shows positive leasing trends.",Peter Moglia
ARE,Office REITs,2024Q4,4,84,4.8,Uncategorized,Both (3E/1A),No,"But I think the good news is our presence in Mission Bay, which we developed after the decade after the great financial crisis has seen a huge boom in AI anchored by OpenAI and a number of other AI companies moving or looking at space and certainly looking at San Francisco as a critical lynchpin bas",Joel Marcus
ARE,Office REITs,2025Q1,0,60,0.0,,,No,,
ARE,Office REITs,2025Q2,1,68,1.5,Uncategorized,Executive,Yes,"We will meet our PDUFA targets, add more AI efficiencies, and ensure our staff has what they need.",Joel S. Marcus
ALGN,Health Care Supplies,2024Q2,0,61,0.0,,,No,,
ALGN,Health Care Supplies,2024Q3,0,89,0.0,,,No,,
ALGN,Health Care Supplies,2024Q4,0,69,0.0,,,No,,
ALGN,Health Care Supplies,2025Q1,1,56,1.8,AI-Enhanced Feature,Executive,No,The latest innovations in the ClinCheck Signature experience combine automation of each doctor's clinical preferences with AI-powered tools that deliver customized treatment plans in near real time.,Joseph Hogan
ALGN,Health Care Supplies,2025Q2,0,51,0.0,,,No,,
ALLE,Building Products,2024Q1,0,21,0.0,,,No,,
ALLE,Building Products,2024Q2,0,56,0.0,,,No,,
ALLE,Building Products,2024Q3,0,43,0.0,,,No,,
ALLE,Building Products,2024Q4,0,63,0.0,,,No,,
ALLE,Building Products,2025Q1,0,69,0.0,,,No,,
LNT,Electric Utilities,2023Q3,0,61,0.0,,,No,,
LNT,Electric Utilities,2023Q4,0,34,0.0,,,No,,
LNT,Electric Utilities,2025Q1,0,61,0.0,,,No,,
LNT,Electric Utilities,2025Q2,0,39,0.0,,,No,,
ALL,Property & Casualty Insurance,2024Q1,0,33,0.0,,,No,,
ALL,Property & Casualty Insurance,2024Q2,1,28,3.6,Uncategorized,Executive,No,"To figure out how you're using different kinds of messaging for different groups, you can imagine with the refocusing of number of media channels and number of messages you can do now, particularly with AI, the number of segments you have and your pricing sophistication, it gets complicated quickly.",Tom Wilson
ALL,Property & Casualty Insurance,2024Q3,1,58,1.7,Uncategorized,Analyst,No,How far away are we from being able to call Allstate and getting into an AI conversation with Dennis Haysbert or Dean Winters that knowledgeable about what you can do to save money by switching to Allstate and what you can do for your policy?,Josh Shanker
ALL,Property & Casualty Insurance,2024Q4,0,51,0.0,,,No,,
ALL,Property & Casualty Insurance,2025Q1,0,62,0.0,,,No,,
GOOGL,Interactive Media & Services,2023Q3,15,44,34.1,AI Infrastructure,Both (10E/5A),Yes,"From Q2 to Q3, the number of active Generative AI projects on Vertex AI grew by 7x, including Highmark Health, which is creating more personalized member materials.",Sundar Pichai
GOOGL,Interactive Media & Services,2023Q4,15,26,57.7,AI Infrastructure,Both (12E/3A),Yes,"One, our investments in AI, including how it's helping Search; two, subscriptions, which reached $15 billion in annual revenue, up 5 times since 2019.",Sundar Pichai
GOOGL,Interactive Media & Services,2024Q1,14,39,35.9,AI Infrastructure,Both (10E/4A),Yes,We have developed new AI models and algorithms that are more than 100x more efficient than they were 18 months ago.,Sundar Pichai
GOOGL,Interactive Media & Services,2024Q2,17,47,36.2,AI Infrastructure,Both (10E/7A),Yes,They showed tremendous ongoing momentum in Search and great progress in Cloud with our AI initiatives driving new growth.,Sundar Pichai
GOOGL,Interactive Media & Services,2024Q3,16,44,36.4,AI Infrastructure,Both (11E/5A),Yes,"In 18 months, we reduced cost by more than 90% for these queries through hardware, engineering, and technical breakthroughs while doubling the size of our custom Gemini model.",Sundar Pichai
GOOG,Interactive Media & Services,2023Q1,16,38,42.1,AI Infrastructure,Both (12E/4A),Yes,We introduced important product updates anchored in deep computer science and AI.,Sundar Pichai
GOOG,Interactive Media & Services,2023Q2,17,40,42.5,AI Infrastructure,Both (11E/6A),Yes,"More than 70% of generative AI unicorns are Google Cloud customers, including Cohere, Jasper, Typeface, and many more.",Sundar Pichai
GOOG,Interactive Media & Services,2023Q3,15,44,34.1,AI Infrastructure,Both (10E/5A),Yes,"From Q2 to Q3, the number of active Generative AI projects on Vertex AI grew by 7x, including Highmark Health, which is creating more personalized member materials.",Sundar Pichai
GOOG,Interactive Media & Services,2023Q4,15,36,41.7,AI Infrastructure,Both (12E/3A),Yes,"One, our investments in AI, including how it's helping Search; two, subscriptions, which reached $15 billion in annual revenue, up 5x since 2019.",Sundar Pichai
GOOG,Interactive Media & Services,2024Q1,13,25,52.0,AI Infrastructure,Both (10E/3A),Yes,We have developed new AI models and algorithms that are more than 100x more efficient than they were 18 months ago.,Sundar Pichai
GOOG,Interactive Media & Services,2025Q1,16,38,42.1,AI Infrastructure,Both (11E/5A),Yes,"AI Overviews is going very well with over 1.5 billion users per month, and we are excited by the early positive reaction to AI Mode.",Sundar Pichai
GOOG,Interactive Media & Services,2025Q2,18,41,43.9,AI Infrastructure,Both (13E/5A),Yes,"The Gemini app now has more than 450 million monthly active users, and we continue to see strong growth in engagement with daily requests growing over 50% from Q1.",Sundar Pichai
GOOG,Interactive Media & Services,2025Q3,23,38,60.5,AI Infrastructure,Both (16E/7A),Yes,"Our revenue number has doubled since then, and we are firmly in the generative AI era.",Sundar Pichai
GOOG,Interactive Media & Services,2025Q4,20,39,51.3,AI Infrastructure,Both (14E/6A),Yes,Backlog grew by 55% quarter over quarter to $240 billion representing a wide breadth of customers driven by demand for AI products.,Sundar Pichai
MO,Tobacco,2023Q1,0,43,0.0,,,No,,
MO,Tobacco,2024Q3,1,47,2.1,AI-Native Product,Executive,Yes,"We plan to centralize work, streamline and standardize processes, further leverage artificial intelligence and automation, and outsource certain transactional tasks.",Billy Gifford
MO,Tobacco,2024Q4,0,48,0.0,,,No,,
MO,Tobacco,2025Q1,0,47,0.0,,,No,,
MO,Tobacco,2025Q2,0,53,0.0,,,No,,
MO,Tobacco,2025Q3,0,26,0.0,,,No,,
AMZN,Broadline Retail,2024Q2,7,25,28.0,AI Infrastructure,Both (5E/2A),Yes,"And third, builders and companies of all sizes are excited about leveraging AI.",Andy Jassy
AMZN,Broadline Retail,2024Q3,9,26,34.6,Internal Automation,Both (7E/2A),Yes,"This team continues to add features at a rapid clip punctuated by SageMaker's unique hyperpod capability, which automatically splits training workloads across more than 1,000 AI accelerators, prevents interruptions by periodically saving checkpoints, and automatically repairing faulty instances from",Andy Jassy
AMZN,Broadline Retail,2024Q4,10,24,41.7,AI Infrastructure,Both (6E/4A),Yes,"And while it may be hard for some to fathom a world where virtually every app is generative AI-infused, with inference being a core building block just like compute, storage, and database, and most companies having their own agents that accomplish various tasks interact with one another, this is the",Andy Jassy
AMZN,Broadline Retail,2025Q1,8,26,30.8,AI Infrastructure,Both (6E/2A),Yes,"Before this generation of AI, we thought AWS had the chance to ultimately be a multi $100 billion revenue run rate business.",Andy Jassy
AMZN,Broadline Retail,2025Q2,8,26,30.8,AI Infrastructure,Both (6E/2A),Yes,"We rolled out DeepFleet, our AI that improves robot travel efficiency by 10%.",Andrew R. Jassy
AMCR,Paper & Plastic Packaging Products & Materials,2023Q4,0,66,0.0,,,No,,
AMCR,Paper & Plastic Packaging Products & Materials,2024Q1,0,61,0.0,,,No,,
AMCR,Paper & Plastic Packaging Products & Materials,2024Q2,0,53,0.0,,,No,,
AMCR,Paper & Plastic Packaging Products & Materials,2024Q3,0,46,0.0,,,No,,
AMCR,Paper & Plastic Packaging Products & Materials,2024Q4,0,48,0.0,,,No,,
AEE,Multi-Utilities,2023Q2,0,53,0.0,,,No,,
AEE,Multi-Utilities,2023Q3,0,66,0.0,,,No,,
AEE,Multi-Utilities,2023Q4,0,51,0.0,,,No,,
AEE,Multi-Utilities,2024Q1,0,61,0.0,,,No,,
AEE,Multi-Utilities,2024Q2,0,55,0.0,,,No,,
AEP,Electric Utilities,2023Q1,0,46,0.0,,,No,,
AEP,Electric Utilities,2023Q2,0,85,0.0,,,No,,
AEP,Electric Utilities,2023Q3,0,68,0.0,,,No,,
AEP,Electric Utilities,2023Q4,1,80,1.2,AI-Native Product,Executive,Yes,This is a trend we expect to continue over the next several years as the global demand for data storage and processing accelerates through the growth of AI and other technologies.,Chuck Zebula
AEP,Electric Utilities,2025Q2,0,46,0.0,,,No,,
AEP,Electric Utilities,2025Q3,1,44,2.3,AI-Native Product,Executive,Yes,"Our unmatched expertise in the design and construction of ultra-high voltage transmission continues to secure major projects, positioning AEP as one of the industry leaders best equipped to meet and capitalize on the accelerating AI-driven demand.",Trevor Mihalik
AXP,Consumer Finance,2023Q1,0,50,0.0,,,No,,
AXP,Consumer Finance,2023Q2,0,51,0.0,,,No,,
AXP,Consumer Finance,2024Q4,0,55,0.0,,,No,,
AXP,Consumer Finance,2025Q1,0,49,0.0,,,No,,
AXP,Consumer Finance,2025Q2,0,49,0.0,,,No,,
AXP,Consumer Finance,2025Q3,0,48,0.0,,,No,,
AXP,Consumer Finance,2025Q4,3,48,6.2,AI Infrastructure,Both (2E/1A),Yes,"This will enable greater personalization in marketing, improve servicing experiences, augment our industry-leading fraud capabilities, and enable new GenAI and AgenTic use cases.",Stephen Squeri
AIG,Multi-line Insurance,2024Q2,1,41,2.4,AI-Native Product,Executive,Yes,"For example, over the last two years, we've invested approximately $300 million in data, digital workflow, AI and talent to accelerate our progress.",Peter Zaffino
AIG,Multi-line Insurance,2024Q3,1,43,2.3,AI-Native Product,Executive,Yes,"Fourth, I will provide an update on our significant progress in AI and related objectives moving forward.",Peter Zaffino
AIG,Multi-line Insurance,2024Q4,3,39,7.7,Internal Automation,Both (2E/1A),Yes,Another strategic accomplishment in 2024 was the delivery of AIG's first generative artificial intelligence large language model powered solution to support business growth.,Peter Zaffino
AIG,Multi-line Insurance,2025Q1,4,46,8.7,AI-Native Product,Both (3E/1A),Yes,"We provided detail on our strategy to deploy GenAI end-to-end, and to demonstrate how the advancement in adoption is making a difference across our business to drive future growth, and that was on full display.",Peter Zaffino
AIG,Multi-line Insurance,2025Q2,2,32,6.2,AI-Native Product,Executive,Yes,"For our call this morning, I will share a detailed review of our second quarter results, a few observations on the global property market and specifically our portfolio, highlights from our successful completion of AIG Next, which delivered $500 million in savings and significant operational improve",Peter Salvatore Zaffino
AMT,Telecom Tower REITs,2024Q1,1,20,5.0,AI-Native Product,Executive,Yes,We are seeing an uptick in activity from AI.,Steven Vondran
AMT,Telecom Tower REITs,2024Q2,1,36,2.8,AI-Native Product,Executive,Yes,"Finally, data center revenues increased over 12% as demand for hybrid and multi-cloud IT architecture continues unabated, and AI-driven demand increases as the backlog of record new business signed over the last two years continues to commence.",Rod Smith
AMT,Telecom Tower REITs,2024Q3,3,62,4.8,AI Infrastructure,Executive,Yes,"Additionally, our data center segment delivered another fantastic quarter of leasing, benefiting from accelerating hybrid IT deployments and early signs of AI-related demand.",Steve Vondran
AMT,Telecom Tower REITs,2024Q4,5,51,9.8,AI Infrastructure,Both (3E/2A),Yes,"My original perspective of the 5G cycle requiring continued network investments to support coverage has been realized and bolstered with incremental optimism through the next phase of AI-driven demand, which I believe will benefit our towers and data centers and unlock synergistic value between the ",Steve Vondran
AMT,Telecom Tower REITs,2025Q1,2,68,2.9,Internal Automation,Executive,Yes,"Internationally, our best-in-class African power program, which we've optimized through accretive sustainable energy investments and the use of comprehensive data analytics, predictive monitoring leveraging AI, our enhanced European book-to-bill processing, and many other developments provide meanin",Steve Vondran
AWK,Water Utilities,2023Q2,0,28,0.0,,,No,,
AWK,Water Utilities,2023Q3,0,61,0.0,,,No,,
AWK,Water Utilities,2023Q4,0,67,0.0,,,No,,
AWK,Water Utilities,2024Q1,0,35,0.0,,,No,,
AWK,Water Utilities,2024Q2,0,69,0.0,,,No,,
AMP,Asset Management & Custody Banks,2023Q2,1,67,1.5,Internal Automation,Executive,Yes,We're also beginning to use AI and analytics to further enhance how we engage and work with clients.,Jim Cracchiolo
AMP,Asset Management & Custody Banks,2023Q3,0,65,0.0,,,No,,
AMP,Asset Management & Custody Banks,2023Q4,1,80,1.2,Uncategorized,Executive,No,"Furthermore, our AI capabilities help them identify opportunities in their book.",James Cracchiolo
AMP,Asset Management & Custody Banks,2024Q1,1,54,1.9,Internal Automation,Executive,No,"But at the same time, we are making good new investments in AI and data and analytics and technology platforms in cybersecurity.",James M. Cracchiolo
AMP,Asset Management & Custody Banks,2024Q2,1,55,1.8,AI-Enhanced Feature,Executive,Yes,"We continue to leverage our global capabilities while steadily investing in technology, digital tools, analytics, AI, products, and solutions across our complementary businesses.",Jim Cracchiolo
AMP,Asset Management & Custody Banks,2025Q4,4,67,6.0,Internal Automation,Executive,Yes,"Supported by our strong financial foundation, we're making key investments across the company in top-tier technology, digital capabilities, AI, and cloud infrastructure.",Jim Cracchiolo
AME,Electrical Components & Equipment,2023Q1,0,80,0.0,,,No,,
AME,Electrical Components & Equipment,2023Q2,2,36,5.6,AI Infrastructure,Executive,Yes,"This provides our customers with advanced computing graphics processing and security capabilities required in AI-focused applications such as intelligence, surveillance and reconnaissance, radar signal processing, and deep machine learning for autonomous systems.",Dave Zapico
AME,Electrical Components & Equipment,2023Q3,1,97,1.0,Internal Automation,Executive,Yes,"InnoRIID has both cutting-edge technology expertise and an exceptional product development team, known for their innovative solutions that have developed specialized artificial intelligence algorithms for radiation detection in a range of nuclear security, research, health, and medical applications.",Dave Zapico
AME,Electrical Components & Equipment,2023Q4,0,75,0.0,,,No,,
AME,Electrical Components & Equipment,2025Q2,0,60,0.0,,,No,,
AME,Electrical Components & Equipment,2025Q3,2,60,3.3,Internal Automation,Executive,Yes,"Virtek recently introduced a new AI-powered camera and software monitoring system that complements its advanced 3D laser projection system, further advancing their intelligent real-time inspection capabilities.",David Zapico
AME,Electrical Components & Equipment,2025Q4,0,101,0.0,,,No,,
AMGN,Biotechnology,2023Q1,2,44,4.5,Vague/Buzzword,Both (1E/1A),Yes,"At a time when the world marvels at ChatGPT, we've been deploying artificial intelligence and machine learning in our research labs for some time now, giving us dry lab capabilities that, when applied to biologics development, have already yielded proof success rates and reduced cycle times beyond o",Bob Bradway
AMGN,Biotechnology,2023Q2,1,59,1.7,AI-Native Product,Executive,Yes,What we have already started historically to execute in any number of uses of artificial intelligence.,Peter Griffith
AMGN,Biotechnology,2025Q2,2,72,2.8,AI-Native Product,Executive,Yes,"We also believe that AI will be additive to the innovative capacity of our industry, and we feel we remain well positioned to accelerate progress through the convergence of biotech and technology, including the application of AI across the company.",Robert A. Bradway
AMGN,Biotechnology,2025Q3,1,44,2.3,AI-Native Product,Executive,Yes,"In addition to the increase of 31% in non-GAAP R&D described above, we continue to advance and accelerate technology and AI across the value chain from discovery to development to manufacturing and through to commercial execution.",Peter Griffith
AMGN,Biotechnology,2025Q4,1,54,1.9,AI-Native Product,Executive,Yes,"We're leveraging AI across the value chain to accelerate therapeutic discovery and late-stage development, optimize manufacturing, and improve customer engagement, allowing us to drive productivity at speed and scale.",Peter H. Griffith
